# ident               redshift   spec1                      i-megacam   i-megacam_err   u-megacam   u-megacam_err   g-megacam   g-megacam_err   r-megacam   r-megacam_err   i-megacam   i-megacam_err   z-megacam   z-megacam_err   J-wircam   J-wircam_err   H-wircam   H-wircam_err   K-wircam   K-wircam_err  
  SPARTAN_comb_N48    0.8145     SPARTAN_comb_N48_1.spec    21.6118     0.0             24.3996     0.3355          23.9615     0.0681          22.9583     0.0249          21.6118     0.0078          20.9442     0.7474          19.9696    0.4421         19.2745    0.6254         18.7131    1.2544        
  SPARTAN_comb_N49    0.8155     SPARTAN_comb_N49_1.spec    22.1161     0.0             23.9303     0.2043          23.5391     0.3006          22.9609     0.3891          22.1161     0.2049          21.6702     0.3857          20.9571    0.4318         20.6961    0.8987         20.4756    0.483         
  SPARTAN_comb_N50    0.8161     SPARTAN_comb_N50_1.spec    22.9061     0.0             27.9419     0.2642          26.1123     0.1634          24.2712     0.2261          22.9061     0.3689          22.2777     0.2436          21.5204    0.4103         21.0164    0.345          20.7382    0.3603        
  SPARTAN_comb_N51    0.8174     SPARTAN_comb_N51_1.spec    22.5154     0.0             27.9805     0.3294          25.934      0.252           23.9436     0.3368          22.5154     0.1281          21.8223     0.2935          20.9961    1.3028         20.4278    0.3135         20.1121    1.5031        
  SPARTAN_comb_N52    0.8188     SPARTAN_comb_N52_1.spec    24.0983     0.0             24.2435     0.3431          24.2781     0.2152          24.1672     0.2091          24.0983     0.4437          23.6723     0.3231          23.2132    0.0922         23.7894    1.2071         24.2025    0.0236        
  SPARTAN_comb_N53    0.8197     SPARTAN_comb_N53_1.spec    22.2276     0.0             23.9236     0.0224          23.6264     0.2219          23.1075     0.0967          22.2276     0.2659          21.8426     0.0139          21.2517    0.1938         21.0149    0.6577         20.8255    0.3866        
  SPARTAN_comb_N54    0.8199     SPARTAN_comb_N54_1.spec    21.7169     0.0             22.8611     0.2606          22.705      0.3991          22.3687     0.2029          21.7169     0.2015          21.404      0.1398          20.9535    0.8792         20.8853    0.2859         20.8024    0.1031        
  SPARTAN_comb_N55    0.821      SPARTAN_comb_N55_1.spec    23.9017     0.0             23.6442     0.1703          23.8009     0.1615          23.8094     0.2563          23.9017     0.2082          23.4972     0.1114          23.119     0.0583         23.885     0.129          24.4658    0.3948        
  SPARTAN_comb_N56    0.8218     SPARTAN_comb_N56_1.spec    21.7561     0.0             22.6173     0.0274          22.4149     0.0544          22.0519     0.1767          21.7561     0.2596          21.2228     0.2867          20.513     0.3436         20.8395    1.1341         21.0669    0.7858        
  SPARTAN_comb_N57    0.8218     SPARTAN_comb_N57_1.spec    23.3754     0.0             28.7363     0.671           27.367      0.3118          25.0932     0.2076          23.3754     0.2244          22.5283     0.4625          21.5153    0.3959         20.7882    0.4801         20.2539    1.1153        
  SPARTAN_comb_N58    0.8219     SPARTAN_comb_N58_1.spec    22.7497     0.0             23.496      0.3293          23.4638     0.4413          23.2764     0.2376          22.7497     0.3737          22.547      0.5438          22.2817    0.3291         22.1319    0.4523         21.932     0.6546        
  SPARTAN_comb_N59    0.8224     SPARTAN_comb_N59_1.spec    22.4108     0.0             22.577      0.1725          22.585      0.1278          22.5364     0.2358          22.4108     0.133           22.2249     0.2467          21.9757    0.2593         22.0076    0.293          21.8874    0.2425        
  SPARTAN_comb_N60    0.8227     SPARTAN_comb_N60_1.spec    23.8368     0.0             25.3773     0.314           25.0094     0.2449          24.4944     0.0747          23.8368     0.4305          23.3888     0.4382          22.6589    0.0423         22.5169    0.6472         22.3603    0.3228        
  SPARTAN_comb_N61    0.823      SPARTAN_comb_N61_1.spec    22.7273     0.0             25.1426     0.5475          24.602      0.1144          23.816      0.3759          22.7273     0.2454          22.1682     0.4641          21.2446    0.2384         20.7657    0.2286         20.3974    0.5829        
  SPARTAN_comb_N62    0.8231     SPARTAN_comb_N62_1.spec    21.772      0.0             27.6563     0.7973          25.4333     0.2414          23.3432     0.3126          21.772      0.1397          21.0424     0.6789          20.1361    0.486          19.5563    0.8971         19.0752    0.0595        
  SPARTAN_comb_N63    0.8232     SPARTAN_comb_N63_1.spec    23.8735     0.0             25.7403     0.736           25.343      0.1372          24.7469     0.2828          23.8735     0.4478          23.4165     0.1845          22.6778    0.6724         22.3945    0.5959         22.1554    0.653         
  SPARTAN_comb_N64    0.8236     SPARTAN_comb_N64_1.spec    21.8304     0.0             23.2219     0.6074          22.8643     0.029           22.4004     0.2691          21.8304     0.2576          21.455      0.3329          20.8199    0.262          20.4857    0.3985         20.1359    0.2938        
  SPARTAN_comb_N65    0.8236     SPARTAN_comb_N65_1.spec    23.6201     0.0             25.9822     0.2706          25.5931     0.0833          24.7748     0.1881          23.6201     0.4821          23.0352     0.3673          22.1727    0.2868         21.6234    0.4602         21.2536    1.4452        
  SPARTAN_comb_N66    0.8238     SPARTAN_comb_N66_1.spec    23.3161     0.0             23.5714     0.5663          23.5739     0.1533          23.5053     0.2395          23.3161     0.2961          23.1394     0.0759          22.8964    1.0361         22.9118    0.1019         22.7892    0.6358        
  SPARTAN_comb_N67    0.824      SPARTAN_comb_N67_1.spec    23.3049     0.0             26.1187     0.3705          25.7007     0.1772          24.5438     0.1722          23.3049     0.4456          22.6854     0.156           21.9303    1.1616         21.4174    0.0659         21.1223    0.2464        
  SPARTAN_comb_N68    0.8241     SPARTAN_comb_N68_1.spec    21.6065     0.0             27.9016     0.2922          25.6248     0.0372          23.345      0.0282          21.6065     0.1292          20.6936     0.2675          19.348     0.4695         18.4622    0.6358         17.975     0.0041        
  SPARTAN_comb_N69    0.8242     SPARTAN_comb_N69_1.spec    21.4887     0.0             22.8803     0.4941          22.6987     0.0179          22.2776     0.4089          21.4887     0.1909          21.1671     0.3116          20.7152    0.9368         20.6417    0.687          20.6096    0.9503        
  SPARTAN_comb_N70    0.8242     SPARTAN_comb_N70_1.spec    23.4498     0.0             25.2405     1.1327          25.0845     0.2649          24.4773     0.3048          23.4498     0.1265          23.0196     0.0418          22.4807    0.7815         22.1217    1.2337         21.7803    0.5845        
  SPARTAN_comb_N71    0.8246     SPARTAN_comb_N71_1.spec    22.9688     0.0             23.2249     1.1146          23.3205     0.3535          23.286      0.2274          22.9688     0.4005          22.802      0.2581          22.617     1.3901         22.845     0.9305         22.9526    1.5611        
