# ident               redshift   spec1                      i-megacam   i-megacam_err  
  SPARTAN_comb_N220   0.8561     SPARTAN_comb_N220_1.spec   23.3349     0.5            
  SPARTAN_comb_N221   0.8563     SPARTAN_comb_N221_1.spec   22.7003     0.5            
  SPARTAN_comb_N222   0.8564     SPARTAN_comb_N222_1.spec   23.5099     0.5            
  SPARTAN_comb_N223   0.8568     SPARTAN_comb_N223_1.spec   23.5931     0.5            
  SPARTAN_comb_N224   0.857      SPARTAN_comb_N224_1.spec   21.8791     0.5            
  SPARTAN_comb_N225   0.8573     SPARTAN_comb_N225_1.spec   22.38       0.5            
  SPARTAN_comb_N226   0.8573     SPARTAN_comb_N226_1.spec   22.8071     0.5            
  SPARTAN_comb_N227   0.8574     SPARTAN_comb_N227_1.spec   22.691      0.5            
  SPARTAN_comb_N228   0.8575     SPARTAN_comb_N228_1.spec   22.0075     0.5            
  SPARTAN_comb_N229   0.8577     SPARTAN_comb_N229_1.spec   22.026      0.5            
  SPARTAN_comb_N230   0.858      SPARTAN_comb_N230_1.spec   22.7871     0.5            
  SPARTAN_comb_N231   0.858      SPARTAN_comb_N231_1.spec   23.0403     0.5            
  SPARTAN_comb_N232   0.8588     SPARTAN_comb_N232_1.spec   22.3873     0.5            
  SPARTAN_comb_N233   0.8588     SPARTAN_comb_N233_1.spec   23.3456     0.5            
  SPARTAN_comb_N234   0.8591     SPARTAN_comb_N234_1.spec   21.5759     0.5            
  SPARTAN_comb_N235   0.8591     SPARTAN_comb_N235_1.spec   21.6498     0.5            
  SPARTAN_comb_N236   0.8592     SPARTAN_comb_N236_1.spec   22.9368     0.5            
  SPARTAN_comb_N237   0.8593     SPARTAN_comb_N237_1.spec   20.6966     0.5            
  SPARTAN_comb_N238   0.8593     SPARTAN_comb_N238_1.spec   21.9026     0.5            
  SPARTAN_comb_N239   0.8595     SPARTAN_comb_N239_1.spec   21.3047     0.5            
  SPARTAN_comb_N240   0.8598     SPARTAN_comb_N240_1.spec   22.1067     0.5            
  SPARTAN_comb_N241   0.8599     SPARTAN_comb_N241_1.spec   22.3291     0.5            
  SPARTAN_comb_N242   0.8602     SPARTAN_comb_N242_1.spec   20.8037     0.5            
  SPARTAN_comb_N243   0.8602     SPARTAN_comb_N243_1.spec   22.1348     0.5            
  SPARTAN_comb_N244   0.8603     SPARTAN_comb_N244_1.spec   21.5926     0.5            
  SPARTAN_comb_N245   0.8605     SPARTAN_comb_N245_1.spec   21.4661     0.5            
  SPARTAN_comb_N246   0.861      SPARTAN_comb_N246_1.spec   22.6603     0.5            
  SPARTAN_comb_N247   0.8611     SPARTAN_comb_N247_1.spec   22.0571     0.5            
  SPARTAN_comb_N248   0.8612     SPARTAN_comb_N248_1.spec   21.5084     0.5            
  SPARTAN_comb_N249   0.8613     SPARTAN_comb_N249_1.spec   21.9363     0.5            
  SPARTAN_comb_N250   0.8613     SPARTAN_comb_N250_1.spec   23.6983     0.5            
  SPARTAN_comb_N251   0.8616     SPARTAN_comb_N251_1.spec   21.1952     0.5            
  SPARTAN_comb_N252   0.8617     SPARTAN_comb_N252_1.spec   23.669      0.5            
  SPARTAN_comb_N253   0.8619     SPARTAN_comb_N253_1.spec   23.3504     0.5            
  SPARTAN_comb_N254   0.862      SPARTAN_comb_N254_1.spec   21.5661     0.5            
  SPARTAN_comb_N255   0.862      SPARTAN_comb_N255_1.spec   23.8512     0.5            
